repository_name,date,views,unique_visitors/cloners
imapsync,2018-03-25,46,15
imapsync,2018-03-26,390,151
imapsync,2018-03-27,425,170
imapsync,2018-03-28,399,155
imapsync,2018-03-29,310,128
imapsync,2018-03-30,235,108
imapsync,2018-03-31,142,64
imapsync,2018-04-01,178,58
imapsync,2018-04-02,234,110
imapsync,2018-04-03,433,167
imapsync,2018-04-04,429,164
imapsync,2018-04-05,319,143
imapsync,2018-04-06,298,129
imapsync,2018-04-07,165,66
imapsync,2018-04-08,134,55
