repository_name,date,clones,unique_visitors/cloners
imapsync,2018-04-16,58,43
imapsync,2018-04-17,32,25
imapsync,2018-04-18,34,33
imapsync,2018-04-19,44,38
imapsync,2018-04-20,43,36
imapsync,2018-04-21,21,16
imapsync,2018-04-22,12,12
imapsync,2018-04-23,39,31
imapsync,2018-04-24,42,38
imapsync,2018-04-25,32,30
imapsync,2018-04-26,39,28
imapsync,2018-04-27,30,27
imapsync,2018-04-28,21,15
imapsync,2018-04-29,15,15
