repository_name,date,views,unique_visitors/cloners
imapsync,2018-04-13,83,20
imapsync,2018-04-14,234,81
imapsync,2018-04-15,139,62
imapsync,2018-04-16,382,170
imapsync,2018-04-17,436,164
imapsync,2018-04-18,358,163
imapsync,2018-04-19,475,174
imapsync,2018-04-20,468,177
imapsync,2018-04-21,192,71
imapsync,2018-04-22,141,63
imapsync,2018-04-23,497,176
imapsync,2018-04-24,377,180
imapsync,2018-04-25,342,148
imapsync,2018-04-26,366,156
imapsync,2018-04-27,314,125
