repository_name,date,clones,unique_visitors/cloners
imapsync,2018-04-22,3,3
imapsync,2018-04-23,39,31
imapsync,2018-04-24,42,38
imapsync,2018-04-25,32,30
imapsync,2018-04-26,39,28
imapsync,2018-04-27,30,27
imapsync,2018-04-28,21,15
imapsync,2018-04-29,17,17
imapsync,2018-04-30,30,19
imapsync,2018-05-01,39,26
imapsync,2018-05-02,32,24
imapsync,2018-05-03,46,39
imapsync,2018-05-04,28,23
imapsync,2018-05-05,26,21
imapsync,2018-05-06,13,12
