repository_name,date,clones,unique_visitors/cloners
imapsync,2018-03-25,5,5
imapsync,2018-03-26,39,33
imapsync,2018-03-27,30,23
imapsync,2018-03-28,27,27
imapsync,2018-03-29,44,40
imapsync,2018-03-30,29,23
imapsync,2018-03-31,19,17
imapsync,2018-04-01,15,14
imapsync,2018-04-02,28,28
imapsync,2018-04-03,27,23
imapsync,2018-04-04,35,26
imapsync,2018-04-05,29,28
imapsync,2018-04-06,31,26
imapsync,2018-04-07,22,16
imapsync,2018-04-08,26,20
